,client_msg_id,type,text,user,ts,team,attachments,blocks,files,upload,display_as_bot,subtype,username,bot_id,thread_ts,reply_count,reply_users_count,latest_reply,reply_users,subscribed,reactions,bot_link,edited,pinned_to,pinned_info,inviter,x_files,root,topic,purpose,old_name,name,parent_user_id,icons
0,f88fa5e1-6d83-439b-b739-7d7c81c48ba7,message,"worldwide testing data here:
<https://ourworldindata.org/grapher/full-list-cumulative-total-tests-per-thousand>",zamorajandrew,1588994056.350100,T2DRR8UNB,"[{'service_name': 'Our World in Data', 'title': 'Total COVID-19 tests per 1,000 people', 'title_link': 'https://ourworldindata.org/grapher/full-list-cumulative-total-tests-per-thousand', 'text': 'An interactive visualization from Our World in Data.', 'fallback': 'Our World in Data: Total COVID-19 tests per 1,000 people', 'image_url': 'https://ourworldindata.org/grapher/exports/full-list-cumulative-total-tests-per-thousand.png?v=116', 'image_width': 354, 'image_height': 250, 'from_url': 'https://ourworldindata.org/grapher/full-list-cumulative-total-tests-per-thousand', 'image_bytes': 92052, 'service_icon': 'https://ourworldindata.org/apple-touch-icon.png', 'id': 1, 'original_url': 'https://ourworldindata.org/grapher/full-list-cumulative-total-tests-per-thousand'}]","[{'type': 'rich_text', 'block_id': '7hF', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'worldwide testing data here:\n'}, {'type': 'link', 'url': 'https://ourworldindata.org/grapher/full-list-cumulative-total-tests-per-thousand'}]}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
1,9ef2df64-5d88-411a-bec0-f973fd721b5e,message,looks like gyms are getting ready to open in US . (sorry for the annoying fomat),aaron,1588991187.349000,,,"[{'type': 'rich_text', 'block_id': '/H49', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'looks like gyms are getting ready to open in US . (sorry for the annoying fomat)'}]}]}]","[{'id': 'F013503Q9M4', 'created': 1588991183, 'timestamp': 1588991183, 'name': 'bd73ae31-e69d-4258-95c6-9b0f326c7aac.jpg', 'title': 'bd73ae31-e69d-4258-95c6-9b0f326c7aac.jpg', 'mimetype': 'image/jpeg', 'filetype': 'jpg', 'pretty_type': 'JPEG', 'user': 'UURUK8NHJ', 'editable': False, 'size': 1059419, 'mode': 'hosted', 'is_external': False, 'external_type': '', 'is_public': True, 'public_url_shared': False, 'display_as_bot': False, 'username': '', 'url_private': 'https://files.slack.com/files-pri/T2DRR8UNB-F013503Q9M4/bd73ae31-e69d-4258-95c6-9b0f326c7aac.jpg', 'url_private_download': 'https://files.slack.com/files-pri/T2DRR8UNB-F013503Q9M4/download/bd73ae31-e69d-4258-95c6-9b0f326c7aac.jpg', 'thumb_64': 'https://files.slack.com/files-tmb/T2DRR8UNB-F013503Q9M4-538ce21eba/bd73ae31-e69d-4258-95c6-9b0f326c7aac_64.jpg', 'thumb_80': 'https://files.slack.com/files-tmb/T2DRR8UNB-F013503Q9M4-538ce21eba/bd73ae31-e69d-4258-95c6-9b0f326c7aac_80.jpg', 'thumb_360': 'https://files.slack.com/files-tmb/T2DRR8UNB-F013503Q9M4-538ce21eba/bd73ae31-e69d-4258-95c6-9b0f326c7aac_360.jpg', 'thumb_360_w': 33, 'thumb_360_h': 360, 'thumb_480': 'https://files.slack.com/files-tmb/T2DRR8UNB-F013503Q9M4-538ce21eba/bd73ae31-e69d-4258-95c6-9b0f326c7aac_480.jpg', 'thumb_480_w': 45, 'thumb_480_h': 480, 'thumb_160': 'https://files.slack.com/files-tmb/T2DRR8UNB-F013503Q9M4-538ce21eba/bd73ae31-e69d-4258-95c6-9b0f326c7aac_160.jpg', 'thumb_720': 'https://files.slack.com/files-tmb/T2DRR8UNB-F013503Q9M4-538ce21eba/bd73ae31-e69d-4258-95c6-9b0f326c7aac_720.jpg', 'thumb_720_w': 67, 'thumb_720_h': 720, 'thumb_800': 'https://files.slack.com/files-tmb/T2DRR8UNB-F013503Q9M4-538ce21eba/bd73ae31-e69d-4258-95c6-9b0f326c7aac_800.jpg', 'thumb_800_w': 74, 'thumb_800_h': 800, 'thumb_960': 'https://files.slack.com/files-tmb/T2DRR8UNB-F013503Q9M4-538ce21eba/bd73ae31-e69d-4258-95c6-9b0f326c7aac_960.jpg', 'thumb_960_w': 89, 'thumb_960_h': 960, 'thumb_1024': 'https://files.slack.com/files-tmb/T2DRR8UNB-F013503Q9M4-538ce21eba/bd73ae31-e69d-4258-95c6-9b0f326c7aac_1024.jpg', 'thumb_1024_w': 95, 'thumb_1024_h': 1024, 'original_w': 600, 'original_h': 6455, 'thumb_tiny': 'AwAwAATRHelpBS0AIKWkFLQAgpaQUtAH/9k=', 'permalink': 'https://necsi-edu.slack.com/files/UURUK8NHJ/F013503Q9M4/bd73ae31-e69d-4258-95c6-9b0f326c7aac.jpg', 'permalink_public': 'https://slack-files.com/T2DRR8UNB-F013503Q9M4-48cdab9f62', 'is_starred': False, 'has_rich_preview': False}]",True,False,,,,,,,,,,,,,,,,,,,,,,,
2,4CFCA637-6567-46BC-8231-64ED0FDADCEE,message,Do we have a source tracking violence in the US?,narcolepticartist,1588985056.348500,T2DRR8UNB,,"[{'type': 'rich_text', 'block_id': '1Z0y', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Do we have a source tracking violence in the US?'}]}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
3,,message,There are no events today,,1588982402.347000,,,,,,,bot_message,ECV Scanning Team,B013BQ7G1HR,1588982402.347000,1.0,1.0,1588983270.347200,['U0108G7DCKC'],False,"[{'name': '+1', 'users': ['UUPTPUHCK'], 'count': 1}]",,,,,,,,,,,,,
4,,message,added an integration to this channel: <https://necsi-edu.slack.com/services/B012WRRNN95|Google Calendar for Team Events>,naturalworld321,1588980360.346600,,,,,,,bot_add,,B012WRRNN95,,,,,,,,<https://necsi-edu.slack.com/services/B012WRRNN95|Google Calendar for Team Events>,,,,,,,,,,,,
5,,message,added an integration to this channel: <https://necsi-edu.slack.com/services/B013BQ7G1HR|Google Calendar for Team Events>,naturalworld321,1588980168.346500,,,,,,,bot_add,,B013BQ7G1HR,,,,,,,,<https://necsi-edu.slack.com/services/B013BQ7G1HR|Google Calendar for Team Events>,,,,,,,,,,,,
6,C943584A-4F1C-4820-A478-400ECC7E96DC,message,<@UURUK8NHJ> this what happens next thing is almost exactly what I was calling for a few months ago. It’s great. ,narcolepticartist,1588977157.344300,T2DRR8UNB,,"[{'type': 'rich_text', 'block_id': 'FirrW', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'user', 'user_id': 'UURUK8NHJ'}, {'type': 'text', 'text': ' this what happens next thing is almost exactly what I was calling for a few months ago. It’s great. '}]}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
7,c0ddc6c1-fd52-4d3a-88fd-3d3a5d84209f,message,"<!channel> if you're able to you are highly encouraged to attend tomorrow's brunch/general meeting especially as <@U011XBASR1C> will be there to talk to us more about his company PHAGE and our collaboration with them to provide the public and patients with useful covid-19 information as they progress through their healthcare journeys. This is an opportunity for us to tangibly help people!

Some of our scanners are already working on PHAGE related projects. Check them out over at <#C011PFC8J21|analytics-scanning-portal> which also has a recording of Karlo and I introducing the projects overall and walking through the google form we're using.

Newbies, this would be a great meeting for you to attend to get to know the team and jump on a project. See you there!",zamorajandrew,1588975921.342300,T2DRR8UNB,,"[{'type': 'rich_text', 'block_id': '2rtc', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'broadcast', 'range': 'channel'}, {'type': 'text', 'text': "" if you're able to you are highly encouraged to attend tomorrow's brunch/general meeting especially as ""}, {'type': 'user', 'user_id': 'U011XBASR1C'}, {'type': 'text', 'text': ' will be there to talk to us more about his company PHAGE and our collaboration with them to provide the public and patients with useful covid-19 information as they progress through their healthcare journeys. This is an opportunity for us to tangibly help people!\n\nSome of our scanners are already working on PHAGE related projects. Check them out over at '}, {'type': 'channel', 'channel_id': 'C011PFC8J21'}, {'type': 'text', 'text': "" which also has a recording of Karlo and I introducing the projects overall and walking through the google form we're using.\n\nNewbies, this would be a great meeting for you to attend to get to know the team and jump on a project. See you there!""}]}]}]",,,,,,,,,,,,,"[{'name': 'tada', 'users': ['U010ERKTCAK'], 'count': 1}]",,,,,,,,,,,,,
8,de388d5e-6789-4cd4-82d9-7a3eb7c2f81e,message,nice SIR/SEIR educational site <https://ncase.me/covid-19/>,aaron,1588975652.338600,T2DRR8UNB,"[{'title': 'What Happens Next? COVID-19 Futures, Explained With Playable Simulations', 'title_link': 'https://ncase.me/covid-19/', 'text': 'an interactive guide', 'fallback': 'What Happens Next? COVID-19 Futures, Explained With Playable Simulations', 'image_url': 'https://ncase.me/covid-19/sharing/thumbnail.png', 'from_url': 'https://ncase.me/covid-19/', 'image_width': 500, 'image_height': 250, 'image_bytes': 46653, 'service_icon': 'https://ncase.me/favicon.png', 'service_name': 'ncase.me', 'id': 1, 'original_url': 'https://ncase.me/covid-19/'}]","[{'type': 'rich_text', 'block_id': 'EmY6', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'nice SIR/SEIR educational site '}, {'type': 'link', 'url': 'https://ncase.me/covid-19/'}]}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
9,8DD1FE9B-81C8-4BAC-91F9-721D587CFF01,message,Will Yaneer be there?,narcolepticartist,1588973854.336500,T2DRR8UNB,,"[{'type': 'rich_text', 'block_id': 'QSMB', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Will Yaneer be there?'}]}]}]",,,,,,,1588973854.336500,1.0,1.0,1588973940.336600,['UUPTPUHCK'],False,,,,,,,,,,,,,,
